id	parity	herd	ys	sex	dam	bw	day115	adg115	bf115	lma115	lean115
DDSHXX516126205	1	17	162	1	DDSHXX515123008	2	192.57	586.8	10.24	44.48	57.61
DDSHXX517214104	5	12	172	2	DDSHXX515042302	1.65	183.28	618.45	12.72	51.72	59.58
DDSHXX518188406	1	14	182	2	DDSHXX517163304	1.75	206.3	548.96	12.74	40.41	55.13
DDSHXX515234301	5	13	153	1	DDUSWFD13004105	1.56	194.95	581.89	20.91	32.88	49.32
DDSHXX517250602	4	18	173	2	DDSHXX515175206	1.55	173.52	653.82	12.18	50.58	59.32
DDSHXX513024205	1	13	134	1	DDUSWFD13021509	1.9	160.62	704.15	7.19	42.44	57.87
DDSHXX617110702	1	8	172	2	DDSHXX416035104	1.65	160.66	705.53	12.98	45.04	56.87
DDSHXX516267901	1	15	163	1	DDSHXX515265808	1.45	187.31	606.21	14.49	50.34	58.42
DDSHXX516024007	2	16	164	1	DDSHXX514095006	1.68	182.84	619.78	15.55	44.28	55.67
DDSHXX516278018	3	12	164	1	DDSHXX515069802	1.45	172.45	658.45	11.81	44.49	57.06
DDSHXX517034704	1	18	174	2	DDSHXX516060702	1.6	162.21	699.09	14.53	46.84	57.03
DDSHXX618068501	1	5	181	1	DDSHXX417042704	1.45	178.97	634.46	12.51	39.19	54.73
DDSHXX513027911	1	13	134	1	DDUSWFD13000905	1.32	186.78	608.63	9.72	39.32	55.76
DDSHXX517140406	1	16	172	2	DDSHXX516125208	1.65	210.73	537.89	10.65	53.27	60.92
DDSHXX514088003	2	14	142	1	DDUSWFD13004208	1.88	187.51	603.27	7.55	46.44	59.32
DDSHXX515242511	1	18	153	1	DDSHXX514133402	1.16	206.87	550.3	13.79	33.23	51.95
DDSHXX517084413	2	13	171	1	DDSHXX515270002	1.85	172.05	657.66	16.56	48.7	57.05
DDSHXX514138602	1	16	143	2	DDSHXX513004610	1.7	176.42	642.22	9.04	46.03	58.63
DDSHXX516197805	1	11	162	1	DDSHXX515196104	1.8	191.11	592.33	17.01	46.59	56.07
DDSHXX516190002	3	11	162	2	DDSHXX514119006	1.75	193.09	586.51	14.39	41.87	55.13
DDSHXX515191503	5	17	152	1	DDUSACR12032202	1.84	183.84	615.54	14.62	43.93	55.86
DDSHXX516124402	3	17	162	2	DDSHXX514089508	2.3	209.12	538.93	11.96	44.92	57.18
DDSHXX516074205	1	12	161	1	DDSHXX515050902	1.84	171.61	659.4	16.03	57.64	60.75
DDSHXX517108605	1	12	171	1	DDSHXX516136606	1.65	168.28	673.58	13.03	41.14	55.32
DDSHXX518175506	3	16	182	2	DDSHXX516247802	1.85	170.57	663.36	11.85	42.31	56.19
DDSHXX517014202	3	18	174	2	DDSHXX515005904	1.7	187.25	605.07	13.7	49.19	58.25
DDSHXX518199505	1	14	182	1	DDSHXX517196604	1.6	165.34	685.86	11.13	50.44	59.64
DDSHXX517248303	1	18	173	1	DDSHXX516230904	1.85	176.58	640.79	9.04	40.32	56.39
DDSHXX516210704	3	18	163	2	DDSHXX514139106	1.15	187.64	606.75	10.64	39.35	55.45
DDSHXX516137106	3	15	162	2	DDSHXX514101302	1.9	180.22	627.57	13.26	44.82	56.68
DDSHXX518126606	1	11	181	2	DDSHXX517156106	1.4	222.52	510.52	15.81	46.24	56.35
DDSHXX517075101	1	13	171	1	DDSHXX516050408	1.65	187.61	604.18	11.93	44.64	57.08
DDSHXX516132811	1	15	162	1	DDSHXX515134004	1.15	187.4	607.52	13.81	47.66	57.61
DDSHXX517142506	1	16	172	2	DDSHXX516138904	1.7	202.79	558.71	13.06	47.33	57.74
