ind	sire	dam
DDUSWFD11009308	DDUWFDM10024402	DDUSWFD10014110
DDUWFDM11031910	DDUWFDM10030301	DDUWFDM10028109
DDUSACS13015402	DDUSACS12017704	DDUSACS12041406
DDUWFDM10026206	DDUSWFD08009002	DDUWFDM08022006
DDUSWFD11008206	DDUWFDM10025301	DDUSWFD10016103
DDUSACR11050105	DDUCRSH09000203	DDUSACR09003806
DDUSWFD10021003	DDUCBSW08008104	DDUSWFD08007112
DDUSWFD09018808	DDUSWFD08009002	DDUSWFD06015107
DDUSWFD10008205	DDUSWFD09000601	DDUSWFD09010411
DDUSACS11024101	DDUSRWG09002301	DDUSSTN08000406
DDUSWFD11007504	DDUSWFD09000602	DDUSWFD10015704
DDUSACS13013602	DDUSACS12017704	DDUSACS12041402
DDUSACS13016207	DDUSACS12014806	DDUSACS12040606
DDUSWFD11008205	DDUWFDM10025301	DDUSWFD10016103
DDUWFDM11030702	DDUWFDM10022101	DDUWFDM10022606
DDUWFDM10024705	DDUSSDF09000604	DDUWFDM08021107
DDJXXX115009689	DDJXXX111007336	DDJXXX113004625
DDGDFC115130101	DDGDFC114162103	DDGDFC114192216
DDGDFC115134603	DDGDFC114133002	DDGDFC114191210
DDUSWFD11012301	DDUWFDM10025302	DDUSWFD10000508
DDUWFDM11030401	DDUSWFD10000501	DDUWFDM10021405
DDGDFC115133504	DDGDFC114187504	DDGDFC114185113
DDUSWFD11017102	DDUWFDM10025302	DDUSWFD09003107
DDUSWFD11019603	DDUSWFD10000501	DDUSWFD10003508
DDUWFDM11030804	DDUWFDM10023102	DDUWFDM09026206
DDUISUB11010203	DDUSNBD10004001	DDUISUB10010508
DDJXXX115009605	DDJXXX113008001	DDJXXX113005617
DDJXXX115009517	DDJXXX113003524	DDJXXX112006537
DDUWFDM11021703	DDUWFDM10022101	DDUWFDM10026204
DDUSACR11090402	DDUSACR10023604	DDUSACR09011913
DDUSACS11004511	DDUCBSW08008104	DDUSACS09000205
DDSHXX114099803	DDSHXX113097401	DDSHXX111038414
